Company,Country,Ticker,Market,Currency,Date,Open,High,Low,Close,Volume
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-08 00:00:00+02:00,534.4,544.75,533.25,533.63,571049
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-09 00:00:00+02:00,532.0,540.53,531.43,539.0,458782
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-10 00:00:00+02:00,538.9,548.68,538.9,547.43,657714
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-11 00:00:00+02:00,551.07,553.37,546.47,549.73,603068
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-14 00:00:00+02:00,554.91,558.36,549.92,553.66,568692
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-15 00:00:00+02:00,559.7,561.71,554.43,554.43,510166
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-16 00:00:00+02:00,555.86,561.33,552.03,559.89,618653
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-17 00:00:00+02:00,552.03,565.64,550.02,565.16,648654
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-18 00:00:00+02:00,563.24,568.13,540.34,540.34,1730017
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-21 00:00:00+02:00,540.53,549.35,537.18,545.03,747952
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-22 00:00:00+02:00,544.08,552.8,541.11,551.55,633263
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-23 00:00:00+02:00,558.55,561.61,545.23,546.66,574843
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-24 00:00:00+02:00,549.92,557.88,547.33,557.88,598583
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-25 00:00:00+02:00,558.84,561.33,553.37,557.3,507111
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-28 00:00:00+02:00,552.22,565.64,551.07,562.0,495023
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-29 00:00:00+02:00,561.23,565.83,559.41,565.35,522060
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-30 00:00:00+02:00,566.98,569.38,554.71,555.29,850151
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-01 00:00:00+02:00,566.21,567.27,545.42,547.53,777706
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-02 00:00:00+02:00,548.87,559.41,548.2,554.91,496576
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-05 00:00:00+02:00,554.91,559.6,552.32,557.21,321842
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-06 00:00:00+02:00,556.92,561.81,552.7,555.86,587153
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-07 00:00:00+02:00,555.86,564.78,554.33,559.41,582604
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-08 00:00:00+02:00,558.84,560.27,536.41,543.69,1073888
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-09 00:00:00+02:00,546.28,558.84,545.8,558.84,696718
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-12 00:00:00+02:00,557.97,568.32,556.15,567.08,559378
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-13 00:00:00+02:00,570.24,575.7,568.23,574.65,700732
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-14 00:00:00+02:00,574.55,586.34,572.35,583.75,641585
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-15 00:00:00+02:00,579.44,585.19,571.87,574.55,661878
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-16 00:00:00+02:00,573.12,573.88,563.72,564.78,758703
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-19 00:00:00+02:00,557.59,559.12,542.45,553.28,1035537
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-20 00:00:00+02:00,557.3,560.37,548.2,556.73,684744
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-21 00:00:00+02:00,572.44,582.12,569.57,574.17,879663
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-22 00:00:00+02:00,584.62,599.85,582.89,594.97,788099
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-23 00:00:00+02:00,596.98,612.41,591.8,612.22,833737
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-26 00:00:00+02:00,608.77,620.08,605.22,611.45,640691
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-27 00:00:00+02:00,607.81,614.42,596.4,597.07,705560
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-28 00:00:00+02:00,601.2,615.95,599.76,615.76,593853
